pm25,pm10,co2,humidity,temperature,voc_reported,label
11.01,23.05,497.64,43.55,24.38,145.62,NORMAL
8.86,18.96,500.68,44.12,23.83,153.48,NORMAL
14.49,24.37,501.81,43.15,24.3,146.3,NORMAL
12.65,22.3,512.18,43.62,24.37,147.61,NORMAL
9.93,21.14,492.59,46.55,23.53,153.53,NORMAL
9.74,20.39,499.94,42.35,24.61,144.98,NORMAL
9.71,17.2,497.44,43.1,23.91,150.89,NORMAL
13.57,24.11,497.96,41.16,24.82,149.87,NORMAL
14.9,23.25,518.32,44.73,24.24,145.72,NORMAL
9.14,21.18,495.35,46.54,23.59,153.29,NORMAL
8.82,18.25,508.78,42.41,24.69,151.05,NORMAL
10.65,16.44,493.05,42.3,23.87,149.82,NORMAL
15.03,21.59,519.73,42.27,25.03,142.07,NORMAL
15.72,25.61,517.14,43.47,24.19,146.29,NORMAL
10.74,22.67,490.35,46.08,23.13,152.67,NORMAL
8.64,18.34,500.36,42.28,24.58,154.7,NORMAL
10.91,18.25,481.8,41.4,23.7,154.6,NORMAL
13.89,25.65,508.26,42.91,24.82,134.68,NORMAL
14.79,22.31,513.5,42.58,24.07,145.6,NORMAL
11.08,26.97,466.93,47.16,22.45,156.28,NORMAL
10.38,20.63,515.14,42.79,24.38,147.68,NORMAL
10.24,23.32,489.19,41.65,24.43,154.32,NORMAL
13.51,28.25,509.84,44.68,25.33,141.03,NORMAL
14.62,20.85,513.89,42.53,24.71,140.73,NORMAL
9.95,28.24,467.61,46.61,22.44,152.54,NORMAL
10.13,22.97,515.66,43.39,24.8,145.79,NORMAL
10.73,24.13,488.46,41.73,24.48,151.17,NORMAL
12.44,28.61,514.45,44.96,25.48,143.44,NORMAL
15.46,22.01,490.68,42.62,25.16,142.72,NORMAL
9.73,24.0,479.0,46.54,22.74,157.12,NORMAL
11.12,22.6,511.66,43.09,25.09,150.87,NORMAL
9.69,20.92,507.05,42.05,24.72,139.11,NORMAL
11.84,28.94,511.59,47.36,24.46,146.61,NORMAL
16.48,23.62,488.8,42.32,25.07,146.91,NORMAL
